<th>Number</th><th>Course Title</th><th>Credit</th><th>Seats</th><th>Days</th><th>Times</th><th>Instructor</th><th>Dates</th><th>Prerequisite(s)</th><th>Location</th>
CCC 410EGD-09;College Capstone in Game Dev.;5;2;M;2:30PM-5:15PM;Robert Wakefield; 8/25 - 12/12;Must complete COR-31... more;FOST 104;
CCC 410ITS-01;Capstone Design;2;4;MTH;8:55AM-9:45AM;Furkan Paligu; 8/25 - 12/12;Must complete COR-31... more;CCM 221;
CCC 410ITS-03;Capstone Design;2;2;MTH;8:55AM-9:45AM;Mariam Khader; 8/25 - 12/12;Must complete COR-31... more;GBTC 117;
CCC 410ITS-04;Capstone Design;2;0;MTH;8:55AM-9:45AM;Frank Canovatchel; 8/25 - 12/12;Must complete COR-31... more;JOYC 211;
CCC 410PSY-01;Psychology Capstone;3;6;MTH;4PM-5:15PM;Valerie Esposito; 8/25 - 12/12;Must complete COR-31... more;JOYC 302;
CCC 410SOI-01;College Capstone SoSI;3;-1;MTH;4PM-5:15PM;Valerie Esposito; 8/25 - 12/12;Must complete COR-31... more;JOYC 302;
CCC 412-01;ITS Capstone Senior Project;3;10;TF;8:30AM-9:45AM;Furkan Paligu; 8/25 - 12/12;Complete CCC-410ITS ... more;FREE 105;
CCC 412DDL-51;DDL Capstone III;5;19;M;5:30PM-8:15PM;Cynthia Brandenburg; 8/25 - 12/12;Complete CCC-410ITS ... more;JOYC 202;
CCM 491-81;Comm  Media Internship;1;18;TBA;Sarah Stack; 8/25 - 12/12;CCM Division student... more;
CCM 492-81;Comm  Media Internship;2;18;TBA;Sarah Stack; 8/25 - 12/12;CCM Division student... more;
CCM 493-81;Comm  Media Internship;3;5;TBA;Sarah Stack; 8/25 - 12/12;CCM Division student... more;
CCM 494-81;Comm  Media Internship;4;18;TBA;Sarah Stack; 8/25 - 12/12;CCM Division student... more;
CCM 495-81;Comm  Media Internship;5;18;TBA;Sarah Stack; 8/25 - 12/12;CCM Division student... more;
CCM 496-81;Comm  Media Internship;6;17;TBA;Sarah Stack; 8/25 - 12/12;CCM Division student... more;
CCX 105-01;Academic Reset;0;14;TH;4PM-5:15PM;Staff; 9/01 - 10/10;None;JOYC 202;
CMP 101-01;Champ 101;0;1;MTH;10AM-11:15AM;Kaylee Sullivan; 8/25 - 10/31;None;JOYC 301;
CMP 101-02;Champ 101;0;1;MTH;11:30AM-12:45PM;Melanie Brown; 8/25 - 10/31;None;CCM 442;
CMP 101-03;Champ 101;0;7;MTH;11:30AM-12:45PM;Mark Pierce; 8/25 - 10/31;None;JOYC 203;
CMP 101-04;Champ 101;0;9;MTH;1PM-2:15PM;Christine Koogle; 8/25 - 10/31;None;CCM 233;
CMP 101-05;Champ 101;0;10;MTH;1PM-2:15PM;Kerry Shackett; 8/25 - 10/31;None;GBTC 217;
CMP 101-06;Champ 101;0;5;MTH;2:30PM-3:45PM;Connor Holtkamp; 8/25 - 12/12;None;CCM 424;
CMP 101-07;Champ 101;0;7;MTH;2:30PM-3:45PM;Liza Geduldig; 8/25 - 10/31;None;JOYC 102;
CMP 101-08;Champ 101;0;6;MTH;4PM-5:15PM;Rebecca Swem; 8/25 - 10/31;None;CCM 442;
CMP 101-10;Champ 101;0;5;TF;8:30AM-9:45AM;Jennifer Stockwell; 8/25 - 10/31;None;CCM 442;
CMP 101-11;Champ 101;0;6;TF;8:30AM-9:45AM;Nathaniel Orvis; 8/25 - 10/31;None;CCM 444;
CMP 101-12;Champ 101;0;2;TF;10AM-11:15AM;James Quinlan; 8/25 - 10/31;None;JOYC 313;
CMP 101-13;Champ 101;0;3;TF;11:30AM-12:45PM;Hannah Marton; 8/25 - 10/31;None;JOYC 305;
CMP 101-14;Champ 101;0;2;TF;11:30AM-12:45PM;Raelyn Gladstone; 8/25 - 10/31;None;JOYC 102;
